Time,Temperature,Forecast,Trimmed,Error
2026-02-22 00:00:00,78.9,0,0,0
2026-02-22 01:00:00,77.5,0,0,0
2026-02-22 02:00:00,76.0,0,0,0
2026-02-22 03:00:00,75.0,0,0,0
2026-02-22 04:00:00,73.1,0,0,0
2026-02-22 05:00:00,71.0,0,0,0
2026-02-22 06:00:00,71.2,0,0,0
2026-02-22 07:00:00,70.3,0,0,0
2026-02-22 08:00:00,70.2,0,0,0
2026-02-22 09:00:00,70.6,0,0,0
2026-02-22 10:00:00,71.3,0,0,0
2026-02-22 11:00:00,72.9,0,0,0
2026-02-22 12:00:00,73.8,0,0,0
2026-02-22 13:00:00,75.0,0,0,0
2026-02-22 14:00:00,76.1,0,0,0
2026-02-22 15:00:00,77.5,0,0,0
2026-02-22 16:00:00,79.7,0,0,0
2026-02-22 17:00:00,81.7,0,0,0
2026-02-22 18:00:00,81.9,0,0,0
2026-02-22 19:00:00,82.4,0,0,0
2026-02-22 20:00:00,83.0,0,0,0
2026-02-22 21:00:00,81.7,0,0,0
2026-02-22 22:00:00,81.8,0,0,0
2026-02-22 23:00:00,81.4,0,0,0
2026-02-23 00:00:00,80.4,0,0,0
2026-02-23 01:00:00,78.3,0,0,0
2026-02-23 02:00:00,77.2,0,0,0
2026-02-23 03:00:00,75.6,0,0,0
2026-02-23 04:00:00,74.5,0,0,0
2026-02-23 05:00:00,72.1,0,0,0
2026-02-23 06:00:00,72.2,0,0,0
2026-02-23 07:00:00,70.4,0,0,0
2026-02-23 08:00:00,69.6,0,0,0
2026-02-23 09:00:00,71.0,0,0,0
2026-02-23 10:00:00,71.4,0,0,0
2026-02-23 11:00:00,73.5,0,0,0
2026-02-23 12:00:00,74.6,0,0,0
2026-02-23 13:00:00,75.0,0,0,0
2026-02-23 14:00:00,77.8,0,0,0
2026-02-23 15:00:00,78.3,0,0,0
2026-02-23 16:00:00,80.3,0,0,0
2026-02-23 17:00:00,81.5,0,0,0
2026-02-23 18:00:00,82.7,0,0,0
2026-02-23 19:00:00,83.7,0,0,0
2026-02-23 20:00:00,83.8,0,0,0
2026-02-23 21:00:00,83.5,0,0,0
2026-02-23 22:00:00,83.1,0,0,0
2026-02-23 23:00:00,82.1,0,0,0
2026-02-24 00:00:00,102.2,0,1,0
2026-02-24 01:00:00,78.7,0,0,0
2026-02-24 02:00:00,77.1,0,0,0
2026-02-24 03:00:00,76.8,0,0,0
2026-02-24 04:00:00,74.4,0,0,0
2026-02-24 05:00:00,72.6,0,0,0
2026-02-24 06:00:00,73.3,0,0,0
2026-02-24 07:00:00,72.3,0,0,0
2026-02-24 08:00:00,71.3,0,0,0
2026-02-24 09:00:00,71.9,0,0,0
2026-02-24 10:00:00,72.1,0,0,0
2026-02-24 11:00:00,73.7,0,0,0
2026-02-24 12:00:00,75.6,0,0,0
2026-02-24 13:00:00,75.9,0,0,0
2026-02-24 14:00:00,77.9,0,0,0
2026-02-24 15:00:00,79.9,0,0,0
2026-02-24 16:00:00,80.9,0,0,0
2026-02-24 17:00:00,81.9,0,0,0
2026-02-24 18:00:00,83.6,0,0,0
2026-02-24 19:00:00,82.7,0,0,0
2026-02-24 20:00:00,83.7,0,0,0
2026-02-24 21:00:00,83.8,0,0,0
2026-02-24 22:00:00,83.8,0,0,0
2026-02-24 23:00:00,81.8,0,0,0
2026-02-25 00:00:00,80.9,0,0,0
2026-02-25 01:00:00,79.1,0,0,0
2026-02-25 02:00:00,76.7,0,0,0
2026-02-25 03:00:00,76.4,0,0,0
2026-02-25 04:00:00,74.8,0,0,0
2026-02-25 05:00:00,73.5,0,0,0
2026-02-25 06:00:00,73.4,0,0,0
2026-02-25 07:00:00,73.0,0,0,0
2026-02-25 08:00:00,71.0,0,0,0
2026-02-25 09:00:00,72.0,0,0,0
2026-02-25 10:00:00,72.1,0,0,0
2026-02-25 11:00:00,74.1,0,0,0
2026-02-25 12:00:00,73.7,0,0,0
2026-02-25 13:00:00,78.0,0,0,0
2026-02-25 14:00:00,78.5,0,0,0
2026-02-25 15:00:00,80.1,0,0,0
2026-02-25 16:00:00,81.0,0,0,0
2026-02-25 17:00:00,81.0,0,0,0
2026-02-25 18:00:00,83.4,0,0,0
2026-02-25 19:00:00,84.1,0,0,0
2026-02-25 20:00:00,83.6,0,0,0
2026-02-25 21:00:00,83.0,0,0,0
2026-02-25 22:00:00,82.6,0,0,0
2026-02-25 23:00:00,82.7,0,0,0
2026-02-26 00:00:00,62.5,0,1,0
2026-02-26 01:00:00,79.6,0,0,0
2026-02-26 02:00:00,77.8,0,0,0
2026-02-26 03:00:00,76.1,0,0,0
2026-02-26 04:00:00,75.7,0,0,0
2026-02-26 05:00:00,73.0,0,0,0
2026-02-26 06:00:00,72.8,0,0,0
2026-02-26 07:00:00,71.5,0,0,0
2026-02-26 08:00:00,71.8,0,0,0
2026-02-26 09:00:00,72.4,0,0,0
2026-02-26 10:00:00,73.6,0,0,0
2026-02-26 11:00:00,73.6,0,0,0
2026-02-26 12:00:00,74.5,0,0,0
